;Descripción ;Código;$ Instalacion;$ Abono;$ A. Riesgo;Observaciones
1;CHASIS (incluye: central, batería, teclado, sirena interna);CHASIS UNIFICADO;11990;-;-;NO incluye CR
2;DETECTOR VOLUMÉTRICO INALÁMBRICO;DI;1450;50;62,5;
3;DETECTOR MAGNÉTICO INALÁMBRICO;MI;750;50;62,5;
4;DETECTOR VOLUMÉTRICO EXTERIOR INALÁMBRICO;VXI;8950;50;62,5;Cargar en Siebel MI de respaldo, sin cargo. DESCMIX.
5;DETECTOR LATERAL EXTERIOR INALÁMBRICO;DLI;9600;50;62,5;Cargar en Siebel MI de respaldo, sin cargo. DESCMIX.
6;DETECTOR VOLUMÉTRICO CABLEADO;D;1850;50;62,5;
7;DETECTOR MAGNÉTICO CABLEADO;M;605;50;62,5;
8;DETECTOR MAGNÉTICO DE PORTON CABLEADO;MP;880;50;62,5;
9;DETECTOR VOLUMÉTRICO SEMI EXTERIOR CABLEADO;DX;7600;50;62,5;
10;DETECTOR VOLUMÉTRICO EXTERIOR CABLEADO;VX;9625;50;62,5;
11;DETECTOR LATERAL EXTERIOR CABLEADO;DL;12250;50;62,5;
12;DETECTOR SÍSMICO CABLEADO;DS;3050;50;62,5;
13;DETECTOR ANTIMASKING CABLEADO;DA;5700;50;62,5;"Ocupa 2 zonas en la central. Informar a Dpto. Técnico para
compra de este equipo."
14;DETECTOR ANTIMASKING EXTERIOR CABLEADO;DAX;7250;50;62,5;"Ocupa 2 zonas en la central. Informar a Dpto. Técnico para
compra de este equipo."
15;DETECTOR 360ª CABLEADO;DU;8050;50;62,5;Instalaciones mayores a 4 mts de altura, cotizar autoelevador.
16;DETECTOR ROTURA CRISTALES CABLEADO;RV;2250;50;62,5;
17;DETECTOR TEMPERATURA CABLEADO;E;2700;50;62,5;"Por pedido. Informar al Dpto. Técnico para comprar el equipamiento."
18;CONTROL REMOTO LLAVERO INALÁMBRICO;CR;715;50;62,5;"Equipos cableados necesitan la receptora (A) para el CR. No suma en el chasis."
19;RECEPTOR ENCRYPTOR CR II CABLEADO;A;3135;-;-;"CR necesita la receptora (A) para ser vendido, excepto eq. Vista o Alonso. Ocupa una zona, pero no modifica abono."
20;PULSADOR FIJO CABLEADO;P;550;50;62,5;
21;FILTRO ADSL CABLEADO;L;660;-;-;No suma en el chasis.
22;BACK UP GPRS CABLEADO;Q;8300;230;287,5;"No suma en el chasis. Incluye fuente de alimentación autónoma. No se carga mas linea de GPRSA solo el Q"
23;SIM;SIM;$                                              -;-;-;Siempre que se cargue un Q cargar una sim
24;REPETIDORA INALÁMBRICA;RI;5200;-;-;"Solo Vista 48. Es necesaria su instalación en propiedades de 3 plantas."
25;GABINETE;GA;6105;-;-;"Por pedido. Informar al Dpto. Técnico para comprar el equipamiento. No suma en el chasis"
26;CENTRAL;C;7700;-;-;
27;TECLADO CABLEADO;T;3630;-;-;No suma en el chasis.
28;SIRENA INTERNA CABLEADA;S;660;-;-;No suma en el chasis.
29;SIRENA EXTERNA CABLEADA;SE;3400;-;-;No suma en el chasis.
30;CAMBIO DE CHASIS;C9-16 / C16-32;5918;-;-;"Equipos cableados y DSC inalámbricos de + 8, + 16, + 32 elementos."
31;PRECIO POR VISITA DE SERVICE;;880;-;-;Para clientes sin service en su abono
32;MUDANZA DE CENTRAL;MUD CENTRAL;4730;-;-;Cliente con + de 5 años de antigüedad, s/cargo.
33;MUDANZA DE ELEMENTO;MUDEL;495;-;-;
34;CORRIMIENTO DE CENTRAL;;4730;-;-;
35;CORRIMIENTO ELEMENTO;CORRI;495;-;-;
38;CAMARA MANAGER INTERIOR WIFI;CMIWIFI;8470;370;462,5;SOLO PARA VENTAS E-COMMERCE
39;CAMARA MANAGER DOMO INTERIOR;CMIWIFI-PT;6600;370;462,5;SOLO PARA VENTAS E-COMMERCE
40;CAMARA MANAGER DOMO EXTERIOR;CMEWIFI;10285;370;462,5;SOLO PARA VENTAS E-COMMERCE
41;CHASIS (Panel, Fuente, Módulo WIFI, Sim, Teclado, Sirena Interna y 2 Tag);CHASIS VVERIF;21600;-;No incluye CR pero si 2 Tag;
42;PIRCAM VIDEOVERIFICACION;DCVV;4350;50;Solo usar para Videoverificacion;
43;PIRCAM EXTERIOR VIDEOVERIFICACION;DCXVV;21800;50;Solo usar para Videoverificacion;
44;DETECTOR PIR STANDARD (NO VV);DVV;1850;50;;
45;MAGNÉTICO PIR INALÁMBRICO (NO VV);MVV;2650;50;;
46;DETECTOR MAGNÉTICO CABLEADO;M;605;-;Solo usar como precableado;
47;DETECTOR VOLUMÉTRICO EXTERIOR INALÁMBRICO (NO VV);VXI;8950;50;Cargar MVV de respaldo, sin cargo. DESCMIX.;
48;DETECTOR LATERAL EXTERIOR INALÁMBRICO (NO VV);DLI;9600;50;Cargar MVV de respaldo, sin cargo. DESCMIX.;
49;CONTROL REMOTO VIDEOVERIFICACION;CRVV;1760;50;;
50;TAG DE PROXIMIDAD (X1);TAG;$                                              -;-;No suma en el chasis.;
51;SIRENA EXTERNA INALÁMBRICA;SEVV;8635;-;;
52;MÓDULO / ADAPTADOR WIFI;WFVV;3400;-;No suma en el chasis.;
53;FUENTE INTERNA;FVV;650;-;;
54;CENTRAL / PANEL RSI WIP 610;CVV;11500;-;;
55;TECLADO CON LECTOR DE TAG;TVV;4550;-;Ocupa zona pero no suma en el abono;
56;SIRENA INTERNA CABLEADA (ANEXO A PANEL);SIVV;1500;-;No suma en el chasis.;
57;CAMARA MANAGER INTERIOR WIFI;CMIWIFI;8470;370;SOLO PARA VENTAS E-COMMERCE;
58;CAMARA MANAGER DOMO INTERIOR;CMIWIFI-PT;6600;370;SOLO PARA VENTAS E-COMMERCE;
59;CAMARA MANAGER DOMO EXTERIOR;CMEWIFI;10285;370;SOLO PARA VENTAS E-COMMERCE;
60;CHASIS (Central, Tecl, bat, backup, receptora, sirena Int y 2 Tag);Chasis HIB;26050;-;-;No incluye CR pero si 2 Tag
61;DETECTOR VOLUMENTRICO INALAMBRICO HIBRIDO;DIHIB;1850;50;62,5;
62;MAGNETICO INALAMBRICO HIBRIDO;MIHIB;2650;50;62,5;
63;DETECTOR VOLUMENTRICO DOBLE TEC INALAMBRICO HIBRIDO;DIDHIB;4675;50;62,5;
64;DETECTOR ANTIMASKING CABLEADO;DA;5700;50;62,5;"Ocupa 2 zonas en la central. Informar a Dpto. Técnico para compra de este equipo."
65;DETECTOR 360ª CABLEADO;DU;8050;50;62,5;Instalaciones mayores a 4 mts de altura, cotizar autoelevador.
66;DETECTOR VOLUMÉTRICO CABLEADO;D;1850;50;62,5;
